,student_id,gender,age,education_level,institution_type,it_student,student_location,load_shedding,financial_condition,internet_type,class_duration,self_lms,device,adaptability_level
264,265,Boy,16-20,College,Government,No,Yes,Low,Mid,Wifi,1-3,No,Mobile,Low
265,266,Girl,1-5,School,Non Government,No,Yes,Low,Poor,Wifi,1-3,No,Mobile,Moderate
266,267,Girl,16-20,College,Government,No,Yes,Low,Mid,Wifi,1-3,No,Mobile,Moderate
267,268,Girl,16-20,University,Government,No,Yes,Low,Mid,Wifi,1-3,Yes,Mobile,Low
268,269,Girl,16-20,College,Non Government,No,Yes,Low,Mid,Wifi,1-3,No,Mobile,Moderate
269,270,Boy,21-25,University,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,Yes,Mobile,High
270,271,Boy,11-15,School,Non Government,Yes,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
271,272,Boy,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,3-6,No,Mobile,Moderate
272,273,Boy,11-15,School,Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
273,274,Girl,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
274,275,Girl,6-10,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Low
275,276,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
276,277,Girl,16-20,University,Non Government,Yes,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Low
277,278,Girl,21-25,University,Government,No,No,Low,Mid,Mobile Data,1-3,No,Mobile,Low
278,279,Boy,21-25,University,Non Government,No,No,Low,Poor,Mobile Data,1-3,Yes,Mobile,Low
279,280,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Low
280,281,Boy,26-30,University,Government,No,No,Low,Poor,Mobile Data,0,No,Mobile,Low
281,282,Girl,16-20,College,Government,No,No,Low,Mid,Mobile Data,0,No,Mobile,Low
282,283,Girl,21-25,University,Non Government,Yes,Yes,High,Mid,Wifi,1-3,No,Mobile,Low
283,284,Boy,21-25,University,Non Government,Yes,Yes,High,Poor,Wifi,1-3,Yes,Computer,High
284,285,Boy,21-25,University,Non Government,No,No,Low,Mid,Mobile Data,1-3,Yes,Mobile,Moderate
285,286,Boy,21-25,College,Government,Yes,No,Low,Poor,Mobile Data,0,No,Mobile,Low
286,287,Boy,21-25,University,Non Government,Yes,Yes,High,Mid,Mobile Data,3-6,Yes,Mobile,Moderate
287,288,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Wifi,0,No,Mobile,Low
288,289,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Wifi,0,No,Mobile,Low
289,290,Boy,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,Moderate
290,291,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
291,292,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Wifi,1-3,No,Mobile,Moderate
292,293,Girl,1-5,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
293,294,Girl,21-25,University,Government,No,Yes,Low,Mid,Mobile Data,1-3,Yes,Mobile,Moderate
294,295,Girl,1-5,School,Government,No,Yes,Low,Rich,Mobile Data,1-3,Yes,Mobile,Low
295,296,Boy,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,Moderate
296,297,Boy,21-25,University,Non Government,No,Yes,Low,Rich,Wifi,3-6,No,Tab,High
297,298,Girl,16-20,College,Government,No,No,High,Mid,Mobile Data,1-3,No,Mobile,Moderate
298,299,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
299,300,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Wifi,1-3,No,Mobile,Moderate
300,301,Boy,21-25,University,Non Government,No,Yes,Low,Rich,Wifi,3-6,No,Computer,High
301,302,Boy,21-25,University,Non Government,Yes,Yes,High,Mid,Mobile Data,3-6,Yes,Mobile,Moderate
302,303,Boy,1-5,School,Non Government,No,Yes,Low,Mid,Wifi,1-3,No,Mobile,Low
303,304,Girl,1-5,School,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,Moderate
304,305,Boy,21-25,University,Government,No,No,High,Poor,Mobile Data,3-6,No,Mobile,Moderate
305,306,Girl,16-20,School,Non Government,No,Yes,Low,Mid,Wifi,1-3,No,Computer,Low
306,307,Boy,16-20,College,Government,Yes,Yes,Low,Mid,Wifi,1-3,Yes,Tab,Moderate
307,308,Boy,11-15,School,Non Government,No,Yes,Low,Rich,Mobile Data,1-3,No,Mobile,Moderate
308,309,Boy,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,3-6,No,Tab,Moderate
309,310,Boy,21-25,University,Government,Yes,Yes,Low,Mid,Mobile Data,1-3,Yes,Mobile,Moderate
310,311,Girl,1-5,School,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,Moderate
311,312,Girl,16-20,College,Non Government,No,No,Low,Mid,Wifi,1-3,No,Mobile,Low
312,313,Boy,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,Moderate
313,314,Boy,11-15,School,Non Government,No,Yes,High,Mid,Wifi,1-3,No,Mobile,Moderate
314,315,Girl,16-20,College,Non Government,No,Yes,Low,Mid,Wifi,1-3,No,Mobile,Moderate
315,316,Girl,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,Low
316,317,Boy,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,3-6,No,Tab,Moderate
317,318,Girl,21-25,University,Government,No,Yes,Low,Mid,Wifi,0,No,Mobile,Low
318,319,Girl,16-20,College,Non Government,No,Yes,High,Mid,Wifi,1-3,No,Mobile,Low
319,320,Girl,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,Low
320,321,Boy,11-15,School,Non Government,No,Yes,Low,Rich,Mobile Data,1-3,No,Mobile,Moderate
321,322,Boy,21-25,University,Non Government,No,Yes,Low,Mid,Mobile Data,0,No,Mobile,Low
322,323,Girl,1-5,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
323,324,Girl,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,Low
324,325,Girl,16-20,College,Non Government,No,No,Low,Mid,Mobile Data,3-6,Yes,Mobile,Low
325,326,Boy,21-25,University,Government,Yes,No,High,Mid,Mobile Data,1-3,No,Mobile,Moderate
326,327,Girl,1-5,School,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,Moderate
327,328,Boy,11-15,School,Government,No,Yes,Low,Mid,Wifi,1-3,No,Mobile,Moderate
328,329,Boy,21-25,University,Non Government,No,No,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
329,330,Girl,21-25,College,Government,No,No,High,Mid,Mobile Data,0,No,Mobile,Low
330,331,Girl,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
331,332,Boy,21-25,University,Government,Yes,Yes,Low,Mid,Wifi,1-3,No,Mobile,Low
332,333,Girl,21-25,University,Non Government,No,Yes,High,Poor,Wifi,3-6,No,Mobile,Low
333,334,Girl,21-25,University,Non Government,Yes,No,Low,Mid,Mobile Data,1-3,Yes,Mobile,Moderate
334,335,Girl,16-20,College,Non Government,No,Yes,Low,Mid,Wifi,3-6,No,Mobile,Moderate
335,336,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,1-3,Yes,Mobile,Moderate
336,337,Boy,21-25,University,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Low
337,338,Boy,16-20,College,Government,No,Yes,Low,Mid,Wifi,1-3,No,Mobile,Low
338,339,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
339,340,Girl,26-30,University,Government,No,No,Low,Poor,Mobile Data,0,No,Mobile,Low
340,341,Girl,1-5,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
341,342,Girl,21-25,College,Government,Yes,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
342,343,Girl,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
343,344,Boy,16-20,School,Government,No,Yes,Low,Mid,Wifi,1-3,No,Mobile,Moderate
344,345,Girl,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,3-6,Yes,Computer,Low
345,346,Boy,21-25,University,Non Government,Yes,No,High,Poor,Mobile Data,1-3,Yes,Mobile,Moderate
346,347,Girl,26-30,University,Government,No,Yes,Low,Mid,Mobile Data,0,No,Mobile,Low
347,348,Boy,6-10,School,Non Government,No,Yes,Low,Rich,Wifi,1-3,No,Mobile,Moderate
348,349,Boy,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,Low
349,350,Boy,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,3-6,No,Mobile,Moderate
350,351,Girl,1-5,School,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,Moderate
351,352,Girl,26-30,University,Government,No,No,Low,Poor,Mobile Data,0,No,Mobile,Low
352,353,Girl,16-20,College,Non Government,No,Yes,High,Mid,Wifi,3-6,No,Mobile,Moderate
353,354,Boy,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,3-6,Yes,Computer,Moderate
354,355,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
355,356,Boy,16-20,College,Government,Yes,No,Low,Rich,Wifi,0,No,Mobile,Low
356,357,Boy,16-20,College,Government,Yes,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
357,358,Girl,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
358,359,Girl,6-10,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
359,360,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
360,361,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
361,362,Girl,6-10,School,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,High
362,363,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,3-6,No,Computer,Low
363,364,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
364,365,Boy,21-25,University,Non Government,Yes,Yes,High,Poor,Mobile Data,1-3,Yes,Mobile,Low
365,366,Boy,21-25,University,Non Government,No,Yes,Low,Rich,Wifi,3-6,No,Computer,High
366,367,Girl,16-20,College,Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Low
367,368,Girl,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
368,369,Girl,16-20,College,Government,No,Yes,Low,Mid,Wifi,1-3,No,Mobile,Moderate
369,370,Girl,16-20,School,Non Government,No,Yes,Low,Mid,Wifi,1-3,No,Mobile,Low
370,371,Boy,16-20,School,Government,No,Yes,Low,Mid,Wifi,1-3,No,Mobile,Moderate
371,372,Boy,21-25,University,Non Government,Yes,Yes,High,Mid,Mobile Data,3-6,Yes,Mobile,Moderate
372,373,Girl,16-20,University,Government,No,Yes,Low,Mid,Wifi,1-3,Yes,Mobile,Low
373,374,Boy,26-30,University,Non Government,Yes,Yes,Low,Mid,Wifi,1-3,Yes,Mobile,Moderate
374,375,Boy,21-25,College,Government,Yes,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
375,376,Girl,6-10,School,Government,No,No,Low,Mid,Mobile Data,0,No,Mobile,Low
376,377,Girl,11-15,School,Non Government,No,No,High,Mid,Mobile Data,0,No,Mobile,Low
377,378,Boy,21-25,University,Government,Yes,Yes,Low,Mid,Mobile Data,1-3,Yes,Mobile,Moderate
378,379,Girl,1-5,School,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,Moderate
379,380,Girl,26-30,University,Government,No,Yes,Low,Mid,Wifi,1-3,No,Mobile,Low
380,381,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Wifi,0,No,Mobile,Low
381,382,Boy,21-25,University,Government,No,No,Low,Mid,Mobile Data,0,No,Mobile,Moderate
382,383,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Low
383,384,Boy,21-25,University,Non Government,Yes,No,Low,Mid,Wifi,3-6,Yes,Computer,Moderate
384,385,Boy,16-20,College,Government,No,Yes,Low,Mid,Wifi,1-3,Yes,Mobile,Moderate
385,386,Boy,21-25,University,Government,Yes,No,High,Mid,Mobile Data,1-3,No,Mobile,Moderate
386,387,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
387,388,Boy,11-15,School,Non Government,No,Yes,High,Mid,Wifi,1-3,No,Mobile,Moderate
388,389,Boy,26-30,University,Non Government,Yes,Yes,High,Poor,Mobile Data,1-3,Yes,Computer,Moderate
389,390,Girl,11-15,School,Government,No,No,Low,Mid,Mobile Data,0,No,Mobile,Low
390,391,Girl,16-20,College,Non Government,No,Yes,Low,Mid,Wifi,3-6,No,Mobile,High
391,392,Girl,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
392,393,Girl,16-20,College,Non Government,No,No,Low,Mid,Wifi,1-3,No,Mobile,Low
393,394,Girl,26-30,University,Government,No,No,Low,Poor,Mobile Data,1-3,No,Mobile,Low
394,395,Girl,16-20,School,Non Government,No,Yes,Low,Mid,Wifi,1-3,No,Computer,Low
395,396,Boy,21-25,University,Government,Yes,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Low
396,397,Girl,21-25,University,Non Government,No,No,Low,Mid,Wifi,0,No,Mobile,Low
397,398,Boy,21-25,University,Non Government,Yes,Yes,Low,Rich,Wifi,3-6,No,Mobile,Low
398,399,Boy,21-25,University,Non Government,Yes,Yes,High,Poor,Wifi,1-3,Yes,Computer,High
399,400,Girl,26-30,University,Government,No,Yes,Low,Mid,Wifi,0,No,Mobile,Low
400,401,Boy,16-20,School,Government,No,Yes,Low,Mid,Wifi,1-3,No,Mobile,Moderate
401,402,Boy,16-20,College,Government,No,Yes,Low,Mid,Wifi,1-3,Yes,Mobile,Moderate
402,403,Boy,26-30,University,Government,Yes,Yes,Low,Mid,Wifi,0,No,Computer,Low
403,404,Boy,16-20,College,Government,No,Yes,High,Mid,Wifi,1-3,No,Mobile,Moderate
404,405,Boy,21-25,University,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Low
405,406,Girl,26-30,University,Government,No,No,Low,Poor,Mobile Data,1-3,No,Mobile,Low
406,407,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,1-3,Yes,Computer,High
407,408,Girl,1-5,School,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,Moderate
408,409,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
409,410,Boy,26-30,University,Government,Yes,Yes,Low,Rich,Wifi,1-3,No,Mobile,High
410,411,Boy,21-25,University,Non Government,Yes,Yes,Low,Rich,Wifi,1-3,Yes,Computer,High
411,412,Boy,21-25,University,Non Government,Yes,Yes,High,Poor,Wifi,1-3,Yes,Computer,High
412,413,Boy,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,3-6,No,Tab,Moderate
413,414,Girl,16-20,College,Non Government,No,No,Low,Mid,Wifi,1-3,No,Mobile,Low
414,415,Girl,1-5,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
415,416,Boy,26-30,University,Government,Yes,Yes,Low,Mid,Wifi,0,No,Computer,Low
416,417,Boy,16-20,College,Government,No,No,High,Mid,Mobile Data,1-3,No,Mobile,Low
417,418,Boy,26-30,University,Non Government,Yes,Yes,Low,Mid,Wifi,1-3,Yes,Mobile,Moderate
418,419,Boy,16-20,University,Government,No,Yes,Low,Mid,Wifi,1-3,Yes,Computer,Moderate
419,420,Girl,16-20,University,Government,No,Yes,Low,Mid,Wifi,1-3,Yes,Mobile,Low
420,421,Girl,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
421,422,Girl,6-10,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
422,423,Girl,11-15,School,Non Government,No,Yes,Low,Mid,Wifi,1-3,No,Computer,Moderate
423,424,Girl,16-20,College,Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Low
424,425,Boy,1-5,School,Non Government,No,Yes,Low,Mid,Wifi,1-3,No,Mobile,Low
425,426,Girl,26-30,University,Government,No,No,Low,Poor,Mobile Data,0,No,Mobile,Low
426,427,Boy,21-25,University,Non Government,Yes,Yes,High,Mid,Mobile Data,3-6,Yes,Mobile,Moderate
427,428,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,1-3,Yes,Computer,High
428,429,Boy,11-15,School,Non Government,No,Yes,High,Mid,Wifi,1-3,No,Computer,Low
429,430,Boy,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,Low
430,431,Boy,21-25,University,Government,No,No,High,Poor,Mobile Data,3-6,No,Mobile,Moderate
431,432,Girl,26-30,University,Government,Yes,Yes,Low,Poor,Mobile Data,0,No,Computer,Low
432,433,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,High
433,434,Girl,21-25,University,Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Low
434,435,Girl,21-25,University,Non Government,Yes,No,Low,Mid,Mobile Data,1-3,Yes,Mobile,Moderate
435,436,Girl,21-25,University,Non Government,Yes,Yes,High,Mid,Wifi,1-3,No,Mobile,Low
436,437,Girl,26-30,University,Government,No,Yes,Low,Mid,Mobile Data,0,No,Mobile,Low
437,438,Girl,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,3-6,No,Tab,Moderate
438,439,Boy,11-15,School,Non Government,No,Yes,High,Poor,Wifi,1-3,No,Mobile,Low
439,440,Girl,16-20,College,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,Yes,Mobile,Moderate
440,441,Boy,21-25,University,Non Government,Yes,Yes,High,Mid,Mobile Data,3-6,Yes,Mobile,Moderate
441,442,Boy,16-20,College,Non Government,No,Yes,Low,Mid,Wifi,1-3,No,Mobile,Moderate
442,443,Girl,26-30,University,Government,No,Yes,Low,Mid,Wifi,1-3,No,Mobile,Low
443,444,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
444,445,Boy,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,Low
445,446,Girl,21-25,University,Government,No,Yes,Low,Mid,Mobile Data,1-3,Yes,Mobile,Moderate
446,447,Boy,21-25,College,Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Low
447,448,Girl,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,1-3,Yes,Mobile,High
448,449,Boy,21-25,University,Non Government,Yes,Yes,Low,Rich,Wifi,3-6,No,Mobile,Low
449,450,Girl,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
450,451,Girl,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,3-6,No,Mobile,Moderate
451,452,Girl,21-25,University,Non Government,Yes,Yes,Low,Rich,Wifi,3-6,No,Computer,High
452,453,Boy,1-5,School,Government,No,No,Low,Mid,Mobile Data,0,No,Mobile,Low
453,454,Girl,16-20,School,Non Government,No,Yes,Low,Poor,Mobile Data,0,No,Mobile,Low
454,455,Boy,21-25,University,Government,No,No,High,Poor,Mobile Data,3-6,No,Mobile,Moderate
455,456,Girl,21-25,University,Government,No,Yes,Low,Poor,Mobile Data,0,No,Mobile,Low
456,457,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
457,458,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,1-3,No,Mobile,Low
458,459,Boy,21-25,University,Government,No,No,Low,Poor,Mobile Data,1-3,No,Mobile,Low
459,460,Boy,21-25,University,Non Government,Yes,Yes,High,Poor,Wifi,3-6,No,Computer,Moderate
460,461,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
461,462,Boy,21-25,University,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,Yes,Mobile,High
462,463,Boy,21-25,University,Non Government,Yes,No,High,Mid,Mobile Data,3-6,Yes,Mobile,High
463,464,Boy,21-25,University,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,Yes,Mobile,High
464,465,Girl,11-15,School,Non Government,No,Yes,Low,Rich,Wifi,1-3,No,Mobile,High
465,466,Boy,21-25,University,Non Government,Yes,No,Low,Mid,Mobile Data,1-3,Yes,Computer,Moderate
466,467,Boy,21-25,College,Government,No,No,High,Poor,Mobile Data,1-3,Yes,Mobile,Low
467,468,Boy,11-15,School,Government,No,No,Low,Poor,Mobile Data,0,No,Mobile,Low
468,469,Girl,16-20,College,Government,No,Yes,Low,Mid,Wifi,1-3,No,Mobile,Moderate
469,470,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,1-3,Yes,Mobile,Low
470,471,Boy,21-25,University,Non Government,Yes,No,High,Poor,Mobile Data,1-3,Yes,Mobile,Moderate
471,472,Boy,21-25,University,Government,No,Yes,Low,Mid,Mobile Data,1-3,Yes,Mobile,Low
472,473,Boy,11-15,School,Government,No,No,Low,Poor,Mobile Data,0,No,Mobile,Low
473,474,Boy,21-25,University,Non Government,No,No,Low,Mid,Wifi,0,No,Mobile,Moderate
474,475,Girl,16-20,College,Non Government,No,No,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
475,476,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Wifi,1-3,No,Mobile,Low
476,477,Boy,21-25,University,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,Yes,Mobile,High
477,478,Girl,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
478,479,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Low
479,480,Boy,26-30,University,Non Government,No,Yes,Low,Mid,Wifi,1-3,Yes,Mobile,Moderate
480,481,Girl,16-20,College,Government,No,Yes,Low,Mid,Wifi,1-3,No,Mobile,Moderate
481,482,Boy,21-25,University,Government,No,No,High,Mid,Mobile Data,1-3,No,Mobile,Low
482,483,Girl,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,Low
483,484,Boy,16-20,College,Government,No,Yes,High,Mid,Mobile Data,1-3,No,Mobile,Low
484,485,Boy,21-25,College,Government,Yes,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
485,486,Boy,16-20,School,Government,No,No,Low,Mid,Wifi,1-3,No,Mobile,Moderate
486,487,Girl,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,3-6,No,Computer,Moderate
487,488,Boy,21-25,University,Non Government,Yes,Yes,High,Mid,Mobile Data,1-3,Yes,Computer,Moderate
488,489,Girl,21-25,University,Non Government,Yes,Yes,High,Mid,Wifi,1-3,No,Mobile,Low
489,490,Girl,11-15,School,Non Government,No,Yes,Low,Poor,Wifi,1-3,No,Mobile,Moderate
490,491,Boy,21-25,University,Non Government,Yes,Yes,High,Poor,Wifi,1-3,Yes,Computer,High
491,492,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
492,493,Boy,16-20,College,Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,Low
493,494,Girl,21-25,University,Non Government,Yes,Yes,Low,Rich,Wifi,3-6,No,Computer,High
494,495,Boy,21-25,University,Government,No,Yes,Low,Mid,Mobile Data,0,No,Mobile,Low
495,496,Girl,16-20,College,Non Government,No,No,Low,Mid,Wifi,1-3,No,Mobile,Low
496,497,Boy,11-15,School,Government,No,No,Low,Mid,Mobile Data,0,No,Mobile,Low
497,498,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,1-3,Yes,Mobile,Moderate
498,499,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,1-3,No,Computer,Moderate
499,500,Boy,21-25,University,Non Government,Yes,No,Low,Mid,Wifi,3-6,Yes,Computer,Moderate
500,501,Girl,16-20,College,Non Government,No,No,Low,Mid,Wifi,1-3,No,Mobile,Low
501,502,Girl,16-20,College,Non Government,No,Yes,High,Mid,Wifi,1-3,No,Mobile,Low
502,503,Girl,16-20,College,Non Government,No,Yes,High,Mid,Wifi,1-3,No,Mobile,Low
503,504,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,3-6,Yes,Computer,Low
504,505,Girl,16-20,College,Government,No,No,High,Poor,Mobile Data,0,No,Mobile,Low
505,506,Boy,16-20,College,Government,No,No,High,Poor,Mobile Data,1-3,No,Mobile,Low
506,507,Girl,6-10,School,Non Government,No,Yes,Low,Rich,Wifi,1-3,No,Mobile,High
507,508,Boy,21-25,University,Government,No,No,Low,Mid,Mobile Data,0,No,Mobile,Moderate
508,509,Girl,16-20,College,Non Government,No,No,Low,Mid,Wifi,1-3,No,Mobile,Low
509,510,Girl,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
510,511,Girl,16-20,School,Non Government,No,Yes,Low,Mid,Wifi,1-3,No,Mobile,Low
511,512,Girl,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,3-6,No,Tab,Moderate
512,513,Girl,16-20,College,Non Government,No,Yes,High,Mid,Wifi,1-3,No,Mobile,Low
513,514,Girl,1-5,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
514,515,Girl,11-15,School,Government,No,No,High,Poor,Mobile Data,1-3,No,Mobile,Low
515,516,Girl,16-20,College,Non Government,No,No,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
516,517,Boy,21-25,University,Government,No,Yes,Low,Mid,Mobile Data,0,No,Mobile,Low
517,518,Boy,21-25,University,Non Government,Yes,Yes,Low,Rich,Wifi,1-3,Yes,Computer,High
518,519,Girl,21-25,University,Non Government,Yes,Yes,High,Mid,Wifi,1-3,No,Mobile,Low
519,520,Boy,21-25,University,Government,No,No,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
520,521,Girl,16-20,College,Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Low
521,522,Girl,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,Low
522,523,Boy,11-15,School,Government,No,No,Low,Mid,Mobile Data,0,No,Mobile,Low
523,524,Girl,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,3-6,Yes,Mobile,Moderate
524,525,Boy,21-25,University,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Low
525,526,Girl,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,3-6,No,Tab,Moderate
526,527,Boy,21-25,University,Non Government,Yes,Yes,High,Mid,Mobile Data,3-6,Yes,Mobile,Moderate
527,528,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,1-3,No,Computer,Moderate
528,529,Boy,16-20,College,Government,No,Yes,Low,Mid,Wifi,3-6,No,Mobile,Moderate
529,530,Girl,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,Moderate
